1,GLI PNEUMATICI CON LESIONI SUI FIANCHI CHE INTERESSANO LE TELE:,
,1. Debbono essere ricostruiti,
,2. Costituiscono pericolo solo se utilizzati ad alta pressione,
,3. Si devono sostituire,X
2,GLI PNEUMATICI CON LESIONI SUI FIANCHI CHE INTERESSANO LE TELE:,
,1. Debbono essere ricostruiti,
,2. Possono aver subito un urto contro uno spigolo vivo,X
,3. Possono essere usati a bassa velocità,
3,VIAGGIANDO CON PNEUMATICI DELLO STESSO ASSE GONFIATI A PRESSIONI DIVERSE:,
,"1. Il veicolo ""tira"" dalla parte dello pneumatico a minor pressione",X
,"2. Il veicolo ""tira"" dalla parte dello pneumatico più gonfio",
,3. Si affatica l'albero di trasmissione,
4,VIAGGIANDO CON PNEUMATICI DELLO STESSO ASSE GONFIATI A PRESSIONI DIVERSE:,
,"1. Il veicolo ""tira"" dalla parte dello pneumatico più gonfio",
,2. Si compromette la tenuta di strada del veicolo,X
,3. Si affatica l'albero della trasmissione,
5,VIAGGIANDO CON PNEUMATICI DELLO STESSO ASSE GONFIATI A PRESSIONI DIVERSE:,
,"1. Il veicolo ""tira"" dalla parte dello pneumatico più gonfio",
,2. In curva aumenta il fenomeno dello slittamento,X
,3. È opportuno frenare più energicamente,
6,GLI PNEUMATICI DEI VEICOLI CON BATTISTRADA ECCESSIVAMENTE USURATO:,
,1. Non condizionano la distanza di sicurezza,
,2. Aumentano la probabilità di incidenti stradali,X
,3. Influscono sulla stabilità del veicolo solo in curva,
7,GLI PNEUMATICI DEI VEICOLI CON BATTISTRADA ECCESSIVAMENTE USURATO:,
,1. Influiscono negativamente sulla frenatura,X
,2. Non aumentano la probabilità di incidenti stradali,
,3. Influscono sulla stabilità del veicolo solo in curva,
8,GLI PNEUMATICI DEI VEICOLI CON BATTISTRADA CON INTAGLI PROFONDI MENO DI 1.6 MM:,
,1. Devono essere sostituiti,X
,2. Non aumentano la probabilità di incidenti stradali,
,3. Possono ancora essere utilizzati fino ad usura con intagli di almeno 0.6 mm di profondità,
9,LA SQUILIBRATURA DEI FRENI PUÒ DIPENDERE DA:,
,1. Ferodo consumato eccessivamente,X
,2. Eccessivo gioco del pedale freno,
,3. Eccessiva pressione sul pedale freno,
10,LA SQUILIBRATURA DEI FRENI PUÒ DIPENDERE DA:,
,1. Tamburi ovalizzati,X
,2. Eccessivo gioco del pedale freno,
,3. Eccessiva pressione sul pedale freno,
11,"CON FRENI SQUILIBRATI, PUÒ AVVENIRE IN FRENATA:",
,1. Lo spostamento del carico all'indietro,
,2. Uno sbandamento trasversale,X
,3. Un consumo eccessivo del liquido del circuito frenante,
12,"CON FRENI SQUILIBRATI, PUÒ AVVENIRE IN FRENATA:",
,1. La rottura del servofreno,
,2. Che sia compromessa la stabilità del veicolo,X
,3. Un consumo eccessivo del liquido del circuito frenante,
13,"UNA FRENATURA POCO EFFICIENTE O SQUILIBRATA, PUÒ ESSERE CAUSATA:",
,1. Da carico erroneamente ripartito od eccessivo,X
,2. Dal tipo di anticongelante usato,
,3. Dall'insufficiente lubrificazione dei dischi,
14,"UNA FRENATURA POCO EFFICIENTE O SQUILIBRATA, PUÒ ESSERE CAUSATA:",
,1. Dalla rottura di una tubazione negli impianti a doppio circuito frenante,X
,2. Dal tipo di anticongelante usato,
,3. Dall'insufficiente lubrificazione dei dischi,
15,"UNA FRENATURA POCO EFFICIENTE O SQUILIBRATA, PUÒ ESSERE CAUSATA:",
,1. Dalla presenza d'aria nel circuito frenante idraulico,X
,2. Dal tipo di anticongelante usato,
,3. Dall'eccessivo livello dell'olio nella coppa del motore,
16,"UNA FRENATURA POCO EFFICIENTE O SQUILIBRATA, PUÒ ESSERE CAUSATA:",
,1. Dall'eccessivo riscaldamento delle guarnizioni frenanti,X
,2. Dal tipo di anticongelante usato,
,3. Dal consumo eccessivo dei denti del freno a mano,
17,"SE LO STERZO SI PRESENTA PIÙ DURO DEL NORMALE, PUÒ DIPENDERE:",
,1. Da sovraccarico dell'asse posteriore,
,2. Dagli pneumatici anteriori sgonfi,X
,3. Dagli pneumatici anteriori troppo gonfi,
18,"SE LO STERZO SI PRESENTA PIÙ DURO DEL NORMALE, PUÒ DIPENDERE:",
,1. Da sovraccarico dell'asse posteriore,
,2. Da cattiva registrazione degli angoli caratteristici delle ruote,X
,3. Dagli pneumatici anteriori troppo gonfi,
19,SE LO STERZO SFARFALLA VIBRANDO FORTEMENTE:,
,1. Può dipendere dai giochi ai comandi dello sterzo,X
,2. Può dipendere dalla marcia ingranata,
,3. Può dipendere dalla convergenza delle ruote,
20,SE LO STERZO SFARFALLA VIBRANDO FORTEMENTE:,
,1. Può dipendere dalle ruote direttrici non equilibrate,X
,2. Può dipendere dalla marcia ingranata,
,3. Può dipendere dalla convergenza delle ruote,
21,PER RIDURRE L'INQUINAMENTO DELL'ARIA PROVOCATO DALLA CIRCOLAZIONE DEI VEICOLI AZIONATI DA MOTORE A SCOPPIO L'AUTOMOBILISTA DEVE:,
,1. Curare la perfetta regolazione degli organi di accensione,X
,2. Provvedere alla frequente revisione degli organi di sospensione,
,"3. Ridurre il tempo di accensione del motore, marciando a velocità elevata nei limiti consentiti",
22,L'INQUINAMENTO ATMOSFERICO PRODOTTO DAI VEICOLI A MOTORE PUÒ ESSERE RIDOTTO:,
,1. Disponendo i bagagli ben fissati sul tetto dell'autovettura,
,2. Limitando i consumi di carburante,X
,3. Utilizzando costantemente il motore a regime massimo di rotazione,
23,Le frecce direzionali segnate sulla carreggiata:,
,1. Possono essere integrate da iscrizioni sulla pavimentazione che indicano la località raggiungibile,X
,2. Comprendono la freccia di destra per indicare l'approssimarsi di una corsia per la sosta di emergenza,
,3. Sono di colore giallo alternato con il nero lungo i tratti dove è vietata la sosta,
24,Le strade extraurbane principali:,
,1. Sono prive di intersezioni a raso,X
,2. Consentono la circolazione con la stessa velocità massima prevista per le autostrade,
,3. Consentono una velocità massima di 70 km/h,
25,Per adattarsi alle condizioni avverse del tempo e prevenire incidenti stradali occorre:,
,1. Tenere i lampeggiatori di sinistra accesi per segnalare la propria presenza,
,2. Accendere i proiettori fendinebbia solo di notte,
,"3. In caso di nebbia, pioggia, foschia o neve, usare gli anabbaglianti anche in pieno giorno",X
26,La corsia può essere:,
,1. Di marcia,X
,2. A doppio senso di circolazione,
,3. Pedonale,
27,Agli imbocchi o sbocchi delle gallerie stradali è opportuno:,
,1. Frenare bruscamente,
,"2. Non sorpassare, neanche nelle carreggiate a senso unico",
,"3. All'uscita, tenere il volante con particolare attenzione per fronteggiare colpi di vento laterale",X
28,In presenza di tratti di strada ghiacciati è opportuno:,
,1. Aumentare di circa tre o quattro volte la distanza di sicurezza,X
,"2. Non usare le catene, ma solo gomme chiodate almeno sulle ruote motrici",
,3. Frenare rapidamente in caso di slittamento,
